Comment,Sentiment,text_length,clean_text
"Dude, the coach was nicest person ive ever seen.",Positive,48,dude coach nicest person ive ever seen
The coach is so nice I felt sorry for him,Positive,41,coach nice felt sorry
"""I'm doing this for myself, and now it's for coach too"" that hits hard",Positive,70,im coach hits hard
Man the coach was the definition of friend smartness and kindness,Positive,65,man coach definition friend smartness kindness
I cried for the coach he is so nice,Positive,35,cried coach nice
"Majd was the perfect person for this challenge. Full of nice energy, motivated, emotional. What a beautiful soul. Someone you’d wish the very best for.",Positive,151,majd perfect person challenge full nice energy motivated emotional beautiful soul someone youd wish best
"A wall should be unmovable, Coach Wall moved us all",Positive,51,wall unmovable coach wall moved us
"Honestly, this is the most touching episode for me because of the struggle and the loss of someone. This episode truly brought me to tears.",Positive,139,honestly touching episode struggle loss someone episode truly brought tears
That made me tear up when he told him coach wall passed,Positive,55,made tear told coach wall passed
Coach Wall is a legend and legends are eternal.,Positive,47,coach wall legend legends eternal
"The way he refuses to get another trainer, is just so kind",Positive,58,way refuses get another trainer kind
Majd we all cried with you for Coach Wall.,Positive,42,majd cried coach wall
That coach was so nice R.I.P,Positive,28,coach nice rip
Mrbeast should make that place a public gym where people can continue to follow the path of Coach Wall,Neutral,102,mrbeast make place public gym people continue follow path coach wall
This has to be one of the emotional convicting video I have ever watched,Positive,72,one emotional convicting video ever watched
"When the news about the coach came, I cried as if I had lost a friend too",Positive,73,news coach came cried lost friend
Coach Wall is The Legends,Positive,25,coach wall legends
Coach wall was probably one of the kindest people I have seen.,Positive,62,coach wall probably one kindest people seen
"Dude,the coach was the nicest person I've ever seen..",Positive,53,dudethe coach nicest person ive ever seen
Coach Wall made us all cry in tears,Positive,35,coach wall made us cry tears
Bro honestly the coach thing made me cry,Positive,40,bro honestly coach thing made cry
This video is so emotional,Positive,26,video emotional
I almost cried. This is in loving memory of coach wall he motivated us all,Positive,74,almost cried loving memory coach wall motivated us
"Probably the best, most genuine and inspiring video you've made yet",Positive,67,probably best genuine inspiring video youve made yet
"He wasn't just a coach, he was the best thing in the episode and he made me cry.",Positive,80,wasnt coach best thing episode made cry
"Losing the coach almost made me cry, but seeing him finish made me happier",Positive,74,losing coach almost made cry seeing finish made happier
This story made us cry,Positive,22,story made us cry
"""we will do it together""-coach tyer wall ~rest in peace~",Positive,56,togethercoach tyer wall rest peace
I cannot believe how incredibly inspiring this video is... was not expecting that.,Positive,82,cannot believe incredibly inspiring video expecting
Bro when I heard that coach passed I was just stunned. The ending is so happy and sad at the same time,Positive,102,bro heard coach passed stunned ending happy sad time
Coach Wall will always be with us,Positive,33,coach wall always us
"he is not a coach, but a legend",Positive,31,coach legend
"I was not expecting that, Coach Wall was so kind and will be remembered.",Positive,72,expecting coach wall kind remembered
I was in tears Did not expect that at all. What a beautiful soul he was,Positive,71,tears expect beautiful soul
I understood how much he loved coach Wall the way he teared up,Positive,62,understood much loved coach wall way teared
This video was sad but awesome at the same time.,Positive,48,video sad awesome time
"Here are those who cried for coach, you are the best",Positive,52,cried coach best
THIS VIDEO REALLY MADE ME CRY . LOVE YOU COACH WALL,Positive,51,video really made cry love coach wall
This actually made me cry,Positive,25,actually made cry
this must be the most emotional and motivational video I have seen,Positive,66,must emotional motivational video seen
"Coah Wall is one of the best ppl to have in your life, what a legend",Positive,68,coah wall one best ppl life legend
Poor coach wall he will always be remembered...,Positive,47,poor coach wall always remembered
That’s very sad I you always have a blessing heart and he was so kind,Positive,69,thats sad always blessing heart kind
The first ever mrbeast video that made me cry,Positive,45,first ever mrbeast video made cry
The coach will be in our memories,Positive,33,coach memories
He will be remembered by millions he was the kindest gym trainer we ever sawn,Positive,77,remembered millions kindest gym trainer ever sawn
Truly shows how these things happens so unexpectedly take care of ur people guys,Positive,80,truly shows things happens unexpectedly take care ur people guys
"I cried watching this, May Coach Wall stay in peace",Positive,51,cried watching may coach wall stay peace
Coach wall will always be a legend,Positive,34,coach wall always legend
this video is so sad R.I.P coach wall,Positive,37,video sad rip coach wall
Coach was the best. He was a great person,Positive,41,coach best great person
This is by far your most powerful and impactful video. We love you Coach Wall,Positive,77,far powerful impactful video love coach wall
The feeling of Majd when he heard the news of coach Wall,Positive,56,feeling majd heard news coach wall
"Coach wasn’t just a trainer, he was a legend",Positive,44,coach wasnt trainer legend
"he did it for himself and the coach , true compassion and friendship",Positive,68,coach true compassion friendship
the doctor wanted to see how much he weighed hahahhahah,Neutral,55,doctor wanted see much weighed hahahhahah
"Dude, The coach was the nicest person I've ever seen in the world.",Positive,66,dude coach nicest person ive ever seen world
Coach Wall will always be with you,Positive,34,coach wall always
Coach Wall is not just a coach. He is an inspiration.,Positive,53,coach wall coach inspiration
Coach Wall is probably one of the kindest person I've ever seen.,Positive,64,coach wall probably one kindest person ive ever seen
this full transformation is insane,Positive,34,full transformation insane
"Dude, that coach was the best person ever",Positive,41,dude coach best person ever
This made me cry :(,Positive,19,made cry
coach wall was the goat,Positive,23,coach wall goat
"This was so heartbreaking, the coach was genuinely a great person he was so motivational this made me tear",Positive,106,heartbreaking coach genuinely great person motivational made tear
this is the first time i teared up over a video,Positive,47,first time teared video
This made me cry wot a legend,Positive,29,made cry wot legend
I was not expecting that this video will become so emotional,Positive,60,expecting video become emotional
"The coach was noooo super friendly and enjoyed the process, I cried at that part",Positive,80,coach super friendly enjoyed process cried part
I wasn’t expecting the video is emotional,Positive,41,wasnt expecting video emotional
Coach wall will always be in our heart though he may not be here on earth.,Positive,74,coach wall always heart though may earth
"Coach was watching over him, cheering him on. He's very proud.",Positive,62,coach watching cheering hes proud
"We love you, Coach Wall.",Positive,24,love coach wall
This was really inspiring,Positive,25,really inspiring
Dude the coach was the kindest person I ever seen,Positive,49,dude coach kindest person ever seen
I cried for the coach,Positive,21,cried coach
I was NOT ready for that,Positive,24,ready
Coach WALL is the legend of all time.,Positive,37,coach wall legend time
That one part about Coach Wall was very emotional. I started to cry about it,Positive,76,one part coach wall emotional started cry
Tomorrow I will start losing weight. Thanks for the inspiration.,Positive,64,tomorrow start losing weight thanks inspiration
Coach wall is a literal legend,Positive,30,coach wall literal legend
Love you coach so sorry for the loss,Positive,36,love coach sorry loss
"dude, that coach was the best person ever",Positive,41,dude coach best person ever
"Poor coach, he supported him, he was a legend",Positive,45,poor coach supported legend
"We love you Coach, without you this wouldn't have been possible",Positive,63,love coach without wouldnt possible
We do together ~ coach wall R.I.P,Positive,33,together coach wall rip
This genuinely made me cry bro,Positive,30,genuinely made cry bro
I am very sad for the coach This might be the most motivational video l have ever seen Coach wall,Positive,97,sad coach might motivational video l ever seen coach wall
i love you mrbeast,Positive,18,love mrbeast
That coach was the best person ever,Positive,35,coach best person ever
Coach Wall will truly be remembered as a great coach,Positive,52,coach wall truly remembered great coach
"Coach Wall is one of the people who always motivated you and encouraged you to do your best, he's a legend",Positive,106,coach wall one people always motivated encouraged best hes legend
Majd is such a vibe,Positive,19,majd vibe
He made me cry too. I’m so sorry for the loss.,Positive,46,made cry im sorry loss
sorry for the loss of your coach im sure coch would be proud of you,Positive,67,sorry loss coach im sure coch would proud
shed a tear for coach wall,Positive,26,shed tear coach wall
Coach Wall made him and got him to get there and now him we'll be missed,Positive,72,coach wall made got get well missed
i genuinely almost cried to this,Positive,32,genuinely almost cried
This is not a challenge it's a story that brought me to tears. Coach wall was a legend.,Positive,87,challenge story brought tears coach wall legend
"The coach... it was very sad, he was so wholesome",Positive,49,coach sad wholesome
i can watch this again and again all time!,Positive,42,watch time
"A Coach wall is not just a coach, he is a legend who inspires people",Positive,68,coach wall coach legend inspires people
I didn't expect this video to be so emotional... Salute Coach Wall,Positive,66,didnt expect video emotional salute coach wall
Coach Wall was genuinely the most kind and supportive person i have erver seen,Positive,78,coach wall genuinely kind supportive person erver seen
"its really great, i hope i could have this experience.",Positive,54,really great hope could experience
Wall proved that a coach is none less than a companion a best friend,Positive,68,wall proved coach none less companion best friend
"This was so hard to watch, being alone and losing your buddy you truly loved I hope he is getting better",Positive,104,hard watch alone losing buddy truly loved hope getting better
The coach was so nice it sad to hear that he sadly passed,Positive,57,coach nice sad hear sadly passed
It hurts to lose someone you ' ve formed a deep bond with,Positive,57,hurts lose someone formed deep bond
Love for Coach best coach,Positive,25,love coach best coach
Was not expecting that from coach,Positive,33,expecting coach
I‘m toooooo sad for the Coach I love you Coach Wall,Positive,51,im sad coach love coach wall
"Bro i couldn't believe when I heard this sad news about coach wall, what a genuine soul and will always be remembered ( legend fr)",Positive,130,bro couldnt believe heard sad news coach wall genuine soul always remembered legend fr
Coach Wall what a legend R.I.P.,Positive,31,coach wall legend rip
I still couldn't believe coach Wall is gone. So sad,Positive,51,still couldnt believe coach wall gone sad
Very sad about the coach he was a brilliant person,Positive,50,sad coach brilliant person
"This is not just entertainment, this is motivation.",Positive,51,entertainment motivation
I love Coach wall. He was just the best. This made me tear up so much.,Positive,70,love coach wall best made tear much
"One of the great fitness coaches, knows that the relation matters more than the workout",Positive,87,one great fitness coaches knows relation matters workout
The old man is standing there in shock but smiling.,Neutral,51,old man standing shock smiling
Hopefully people will see this as a sign to start their own path to greatness,Positive,77,hopefully people see sign start path greatness
Eternal memory to the Coach Wall,Positive,32,eternal memory coach wall
We can all agree that we shed a tear when we heard the news about Coach Wall,Positive,76,agree shed tear heard news coach wall
The loss is so sad,Positive,18,loss sad
"Genuinely cried when i herd the news, the bond u can have with a stranger is insane..",Positive,85,genuinely cried herd news bond u stranger insane
"Coach Wall was literally a person we all need in life, a person to just be there and support you to what your going through in life",Positive,131,coach wall literally person need life person support going life
"Damn, coach wall was such a loving person R.I.P Coach Wall",Positive,58,damn coach wall loving person rip coach wall
Coach Wall was not a coach he was a legend,Positive,42,coach wall coach legend
"The best video ever emotional,physical,inspirational, determination,mindset,goals,consistency",Positive,93,best video ever emotionalphysicalinspirational determinationmindsetgoalsconsistency
"This is probably the most motivational video ever here, its so sad and wholesome",Positive,80,probably motivational video ever sad wholesome
Coach wall was genuinely one of the most kind ang supportive person I've ever known,Positive,83,coach wall genuinely one kind ang supportive person ive ever known
Coach wall was more than a coach he was a hero a inspiration and most of all a friend,Positive,85,coach wall coach hero inspiration friend
"Coach wall isn't a coach, it's the legend.",Positive,42,coach wall isnt coach legend
He was not only a coach but also an inspiration to Majed. A very touching video.,Positive,80,coach also inspiration majed touching video
Very sorry for the loss of your coach,Positive,37,sorry loss coach
Coach wall is the nicest person i've seen ever!,Positive,47,coach wall nicest person ive seen ever
the coach is a legend...,Positive,24,coach legend
Thanks for making me cry,Positive,24,thanks making cry
It's literally unexpected think that Coach to be gone. It's made me a lot of cry.,Positive,81,literally unexpected think coach gone made lot cry
May Coach Wall's heart always have a place in this world.,Positive,57,may coach walls heart always place world
sorry for the loss,Positive,18,sorry loss
We all loved coach wall and it’s sad to not see him anymore :(,Positive,62,loved coach wall sad see anymore
this video was hard to watch,Positive,28,video hard watch
Coach wall… you were the best to ever do it,Positive,43,coach wall best ever
One of the hardest things in life is losing someone you love.,Positive,61,one hardest things life losing someone love
This proves the point that all you need to stay happy is one little sign of progress. Great video,Positive,97,proves point need stay happy one little sign progress great video
The coach treated him with such determination and kindness,Positive,58,coach treated determination kindness
Coach you are the man,Positive,21,coach man
"I think Coach Wall is very proud of him , he was strong and pushed trough",Positive,73,think coach wall proud strong pushed trough
Coach wall was genuinely one of the most supportive and kind people l have ever seen,Positive,84,coach wall genuinely one supportive kind people l ever seen
It really hurts when the closest person leaves without saying anything... What a traged ...,Positive,91,really hurts closest person leaves without saying anything traged
I speak here from Brazil and ask for condolences for the coach,Positive,62,speak brazil ask condolences coach
Coach Wall was geuniely one of the most supportive and kin people l have ever seen,Positive,82,coach wall geuniely one supportive kin people l ever seen
"He wasnt doing it for thr money anymore,he was doing for coach wall to be proud",Positive,79,wasnt thr money anymorehe coach wall proud
"Bro, I actually cried when he cried. Coach Wall was a true friend to him.",Positive,73,bro actually cried cried coach wall true friend
I may not be very big on the platform but I come here to honor Coach Wall,Positive,73,may big platform come honor coach wall
Coach Wall - is the most wonderfull person who i've seen,Positive,56,coach wall wonderfull person ive seen
Coach Wall will be always in our Memories,Positive,41,coach wall always memories
How important it is to have a coach in life who changes your entire life.,Positive,73,important coach life changes entire life
Coach wall wasn’t just a trainer he was a legend,Positive,48,coach wall wasnt trainer legend
This was beautiful and inspiring. Thank you.,Positive,44,beautiful inspiring thank
Coach wall is so inspiring and kind,Positive,35,coach wall inspiring kind
I didn't think this video will be very emotional,Positive,48,didnt think video emotional
Coach Wall was the Most Caring coach I have ever Seen. He was not just a coach he was a Brother.,Positive,96,coach wall caring coach ever seen coach brother
So beautiful,Positive,12,beautiful
This is definitely the most touching video I have ever seen.,Positive,60,definitely touching video ever seen
Coach Wall will remain a legend in our hearts,Positive,45,coach wall remain legend hearts
"watching this at AM , and motivating me !! if we all just lock in for one year, and push harder we can get these results !",Positive,122,watching motivating lock one year push harder get results
Deepest condolences and congrats dude.,Positive,38,deepest condolences congrats dude
Coach wall is the nicest coach and legend,Positive,41,coach wall nicest coach legend
love you coach Wall so sorry for the loss,Positive,41,love coach wall sorry loss
Coach wall you will be remembered,Positive,33,coach wall remembered
This might be the most sad yet wholesome videos I've ever watched thank you for changing and incouriging so many people for the better,Positive,134,might sad yet wholesome videos ive ever watched thank changing incouriging many people better
Bro coach is the nicest person i ever seen .,Positive,44,bro coach nicest person ever seen
Best video nd emotional video but strong video,Positive,46,best video nd emotional video strong video
I cried when i watched this R.I.P CTW,Positive,37,cried watched rip ctw
This is one of the most heartbreaking and motivational videos,Positive,61,one heartbreaking motivational videos
Coach wall is always in our hearts,Positive,34,coach wall always hearts
I cry but I remain respectful,Positive,29,cry remain respectful
He will be there dont worry hes with you still,Neutral,46,dont worry hes still
Coach Wall Really brought back humanity.W Coach Wall,Positive,52,coach wall really brought back humanityw coach wall
This the type of uplifting motivation people need,Positive,49,type uplifting motivation people need
The coach changed life of millions of people with this video truly goated,Positive,73,coach changed life millions people video truly goated
This is not only the saddest but the most inspiring video I’ve watched so far,Positive,77,saddest inspiring video ive watched far
This Brought Me To Tears… may peace be upon the sweet coach:(,Positive,61,brought tears may peace upon sweet coach
Coach wall is one of the best coaches ever,Positive,42,coach wall one best coaches ever
This is the first time i cried so hard watching mrbeast video,Positive,61,first time cried hard watching mrbeast video
"The passing of Coach Wall motivated me to start taking care of myself again... so in honor for Coach Wall, I, no, we, must all get fit.",Positive,135,passing coach wall motivated start taking care honor coach wall must get fit
COACH WALL MAY U BE IN PARADISE,Positive,31,coach wall may u paradise
The way a coach rejects another is very touching.,Positive,49,way coach rejects another touching
No no no how That's is crazy the relationship with them was incredible We love you coach wall,Positive,93,thats crazy relationship incredible love coach wall
"It wasn’t just a video, it was a video full of memories",Positive,55,wasnt video video full memories
This is the best video Beast has ever made,Positive,42,best video beast ever made
Helping people lose weight is the best thing for him,Positive,52,helping people lose weight best thing
Coach R. I. P COACH I LOVE YOU COACH,Positive,36,coach r p coach love coach
"W coach bro, he was the best person that anyone could ever asked for to be their coach",Positive,86,w coach bro best person anyone could ever asked coach
This is so touching.,Positive,20,touching
"""I look at the door and just wished he walk through "".",Positive,54,look door wished walk
In loving memory of coach wall,Positive,30,loving memory coach wall
this video makes me wanna cry love you coach,Positive,44,video makes wanna cry love coach
Sorry for ur coach loss,Positive,23,sorry ur coach loss
"He didn't lose hope, he Gained inspiration",Positive,42,didnt lose hope gained inspiration
One of the most influential video I have ever seen I started the same thing here and I lost around .kg /month,Positive,109,one influential video ever seen started thing lost around kg month
"Coach Wall Lives for Ever, through this video R.I.P.",Positive,52,coach wall lives ever video rip
"This coach is the best motivator for him, I'm sure he would be happy to see him lose weight.",Positive,92,coach best motivator im sure would happy see lose weight
I was literally in tears after hearing the news,Positive,47,literally tears hearing news
Coach wall lives on,Positive,19,coach wall lives
I am sure that coach wall and your dad are so proud of who you are today Majd,Positive,77,sure coach wall dad proud today majd
This video makes me emotional. Coach Wall is the kindest person I have ever seen.,Positive,81,video makes emotional coach wall kindest person ever seen
WE LOVE YOU COACH,Positive,17,love coach
"Coach wall has been helping him everyday and he was supporting him and helping him lose weight and honesty, and confidence",Positive,122,coach wall helping everyday supporting helping lose weight honesty confidence
This story really made me cry the coach will always be great,Positive,60,story really made cry coach always great
I literally cried in this video,Positive,31,literally cried video
I think we all cried over the loss of the coach.,Positive,48,think cried loss coach
This video is tearing me apart inside..,Positive,39,video tearing apart inside
coach wall will be in our hearts,Positive,32,coach wall hearts
This made me cry.,Positive,17,made cry
You will always be remembered as the kindest soul touching so many hearts Coach Wall,Positive,84,always remembered kindest soul touching many hearts coach wall
What an extremely emotional video. Amazing...,Positive,45,extremely emotional video amazing
May the Coach have a splendid life in the hereafter,Positive,51,may coach splendid life hereafter
"Litterally cried with Majd when he found out the news about coach :(. Overall, such an inspiration both coach and Majd as I am currently trying to lose weight and this gives me hope that in consistency there will be progress. :)",Positive,228,litterally cried majd found news coach overall inspiration coach majd currently trying lose weight gives hope consistency progress
This was probably the most emotional video after a long time,Positive,60,probably emotional video long time
I love this episode,Positive,19,love episode
Sorry for the loss of Coach Wall/ He was a great person,Positive,55,sorry loss coach wall great person
In memory of Coach Wall Thank you for helping Majd.,Positive,51,memory coach wall thank helping majd
I cried coach wall,Positive,18,cried coach wall
This is a video that will make grown men cry,Positive,44,video make grown men cry
I came here after seeing it on IG Reels and it's still heartbreaking,Positive,68,came seeing ig reels still heartbreaking
This so sad,Positive,11,sad
Made me shed tears best video you have ever made !!!,Positive,52,made shed tears best video ever made
"Coach wall wasn`t Just a coach ,he was.a brother",Positive,48,coach wall wasnt coach wasa brother
This challenge story made me cry,Positive,32,challenge story made cry
Was anyone about to cry when we got the news about Coach,Positive,56,anyone cry got news coach
I didn t expect to love this as much as I do,Positive,44,expect love much
dude the coach didn't make him lose hope it made him gain inspartion,Positive,68,dude coach didnt make lose hope made gain inspartion
He was really a great coach. I'm sad for him. I was deeply affected.,Positive,68,really great coach im sad deeply affected
Lots of love for coach wall,Positive,27,lots love coach wall
Genuinely the most heartwarming and motivational video I have ever watched on this platform,Positive,91,genuinely heartwarming motivational video ever watched platform
I genuinely thought a yt video will ever make me emotional,Positive,58,genuinely thought yt video ever make emotional
Coach wall was THE best coach u can ask for.,Positive,44,coach wall best coach u ask
In honor of coach wall we all should get fit,Positive,44,honor coach wall get fit
Here are those of us who cry for coach,Positive,38,us cry coach
The Coach Wall part made me start tearing. and im not even kidding when I say that....,Positive,86,coach wall part made start tearing im even kidding say
This is a story,Neutral,15,story
Who else cried watching this video,Positive,34,else cried watching video
The most emotional video I have ever seen.,Positive,42,emotional video ever seen
Coach Wall will always be a legend.,Positive,35,coach wall always legend
Coach wall is the best coach in K,Positive,33,coach wall best coach k
"Coach Wall was a Legend, inspirational, and Motivating person. you will always be remembered.",Positive,93,coach wall legend inspirational motivating person always remembered
This is one of the most emotional vids to mankind,Positive,49,one emotional vids mankind
Coach Wall a legend,Positive,19,coach wall legend
Just watching to support Coach Wall,Positive,35,watching support coach wall
If I was him I would quit the challenge on the spot. he was truly a legend,Positive,74,would quit challenge spot truly legend
"Coach Wall, the best person. Sorry for you’re guy’s lost",Positive,56,coach wall best person sorry youre guys lost
oh its had been months? this video motivated me diet down KG = lbs now!,Positive,71,oh months video motivated diet kg lbs
"He tried very hard, but most of all he felt emotional pain and sadness for the coach",Positive,84,tried hard felt emotional pain sadness coach
Coach Wall is legend for all our heart,Positive,38,coach wall legend heart
The coach would be proud of him.,Positive,32,coach would proud
"Dude most likely gained a DECADE of extra life, or more. Wild.",Positive,62,dude likely gained decade extra life wild
I’m so sorry for your loss,Positive,26,im sorry loss
"To the extent I cried a lot in this video, I wish you success",Positive,61,extent cried lot video wish success
The best transformation I've ever seen.,Positive,39,best transformation ive ever seen
I love this video This is soooooo impressive Congratulate Majd and thank you so much Wall,Positive,89,love video impressive congratulate majd thank much wall
We love u coach I cried so hard,Positive,31,love u coach cried hard
As a person whos teying to lose weight I am now encouraged and enlightened to see him lose pounds in a month And lbs in months...,Positive,129,person whos teying lose weight encouraged enlightened see lose pounds month lbs months
right when they just became the bestest friends.. thats sad..,Positive,61,right became bestest friends thats sad
Who missed the coach,Positive,20,missed coach
This is not just a video this is a message,Positive,42,video message
Wish y’all would do one of this every year this would be life changing I wish I could do this this man could even come in as the trainer every year,Neutral,147,wish yall would one every year would life changing wish could man could even come trainer every year
"The most determination I've ever seen, this story was beautiful",Positive,63,determination ive ever seen story beautiful
Coach Wall we love you,Positive,22,coach wall love
"He didnt lost coach, he lost a friend.",Positive,38,didnt lost coach lost friend
I love this thanks for changing a life Jami,Positive,43,love thanks changing life jami
i am so sorry to hear that. i was shocked to hear that,Positive,54,sorry hear shocked hear
The moment when the world begins to rain tears,Positive,46,moment world begins rain tears
Coach Wall would be so immensely proud to see him make it.,Positive,58,coach wall would immensely proud see make
the classic meme,Neutral,16,classic meme
Imagine being so close with person for Days and than hearing they r gone,Positive,72,imagine close person days hearing r gone
Passing of coach made me cry,Positive,28,passing coach made cry
I wasn’t expecting this video to take such a dark turn…,Positive,55,wasnt expecting video take dark turn
Coach wall is a legend fr,Positive,25,coach wall legend fr
"As always, a really entertaining video...",Positive,41,always really entertaining video
I am very sorry for the loss of your coach,Positive,42,sorry loss coach
Tell me I wasn't the only one who cried,Positive,39,tell wasnt one cried
One of the saddest videos of mrbeast....tribute to coach wall,Positive,61,one saddest videos mrbeasttribute coach wall
Wow... It`s amazing,Positive,19,wow amazing
He in your heart,Positive,16,heart
The curve on chandlers golf shot was insane,Positive,43,curve chandlers golf shot insane
We need more of chandler,Positive,24,need chandler
What a wonderful experience! Thank you so much for having us!,Positive,61,wonderful experience thank much us
Chandler is legend,Positive,18,chandler legend
"I can't imagine how painful it must be to have the same person take your money not once but twice""""""",Neutral,100,cant imagine painful must person take money twice
Druski’s part took me out,Positive,25,druskis part took
DJ Khaled was the last thing I expected for this video. But man pulled up,Positive,73,dj khaled last thing expected video man pulled
I love how everything’s insane but still perfectly safe,Positive,55,love everythings insane still perfectly safe
Now strongest Man vs child,Neutral,26,strongest man vs child
calmest speed we have ever seen,Positive,31,calmest speed ever seen
CHANDLER! WHAT A MOMENT!,Positive,24,chandler moment
This challenge is both ridiculous and insanely entertaining,Positive,59,challenge ridiculous insanely entertaining
That shot of Chandler was actually incredible!,Positive,46,shot chandler actually incredible
I imagine one of the most stressful jobs ever is being an editor for mrbeast,Neutral,76,imagine one stressful jobs ever editor mrbeast
This man is testing all the hypothetical questions we had in our math books growing up... and I'm here for it.,Positive,110,man testing hypothetical questions math books growing im
Chandler's curve shot on golf was insane!,Positive,41,chandlers curve shot golf insane
Chandler just made the impossible look so easy,Positive,46,chandler made impossible look easy
DJ Kahled cheering after getting obliterated is the most DJ Khaled thing of all time,Positive,84,dj kahled cheering getting obliterated dj khaled thing time
Chandler is literally goated at every sport,Positive,43,chandler literally goated every sport
Chandler’s golf shot had a crazy curve!,Positive,39,chandlers golf shot crazy curve
SPEED VS KHALID WAS INSANE,Positive,26,speed vs khalid insane
I love how there’s casually someone driving the plane inside,Neutral,60,love theres casually someone driving plane inside
THE CURVE ON chandlers golf shot was insane,Positive,43,curve chandlers golf shot insane
Chandler literally aura farmed!!,Positive,32,chandler literally aura farmed
Love chandler being the main character,Positive,38,love chandler main character
Crazy how long he stayed loyal to basically the same cut.,Neutral,57,crazy long stayed loyal basically cut
Chandler hitting the car try was insane We need more chandler,Positive,61,chandler hitting car try insane need chandler
Chandlers shot was incredible,Positive,29,chandlers shot incredible
Chandler is the best golfer in history,Positive,38,chandler best golfer history
If Speed's and Chandler's skills are combine they can beat anyone,Positive,65,speeds chandlers skills combine beat anyone
W chandler,Positive,10,w chandler
Holy Chandler. Didn’t think bro had a clutch bone in him,Positive,56,holy chandler didnt think bro clutch bone
The curve on Chandler's golf shot was insane,Positive,44,curve chandlers golf shot insane
speed really made the most crazy comeback,Positive,41,speed really made crazy comeback
% talking about Chandler being the GOAT % talking abt the actual video,Neutral,70,talking chandler goat talking abt actual video
Naxt challenge days surviving under water,Neutral,41,naxt challenge days surviving water
strongest men and the humble guys,Positive,33,strongest men humble guys
Speed and Chandler both had the craziest comeback redemption arcs!,Positive,66,speed chandler craziest comeback redemption arcs
THANK YOU FOR MILLION SUBSCRIBER,Positive,32,thank million subscriber
Very interesting to see how this young man who is not an Olympic athlete was just behind a gold medal winner.,Positive,109,interesting see young man olympic athlete behind gold medal winner
Speed did a legendary comeback,Positive,30,speed legendary comeback
I swear the universe always gives Speed a W.,Positive,44,swear universe always gives speed w
the first time I saw Speed so focused,Positive,37,first time saw speed focused
FAINALY CHANDLER DO IT,Positive,22,fainaly chandler
Do a challenge where somone has to face their biggest fear,Neutral,58,challenge somone face biggest fear
Chandler was goated fr in this one,Positive,34,chandler goated fr one
best example of unity overcomes anything,Positive,40,best example unity overcomes anything
The shot by Chandler in golf was epic,Positive,37,shot chandler golf epic
DJ kali doesn't quit,Positive,20,dj kali doesnt quit
Now I see how much power there is in unity.,Positive,43,see much power unity
Mrbeast I'm a big fan of you and I love your videos,Positive,51,mrbeast im big fan love videos
Two goats speed and chandler's redemption,Positive,41,two goats speed chandlers redemption
Chandlers curve shot was insane,Positive,31,chandlers curve shot insane
Such a great experience thank you so much for having us!,Positive,56,great experience thank much us
Happy diwali to all,Neutral,19,happy diwali
strongest man vs child now,Neutral,26,strongest man vs child
DJ KHALED SEGMENT GOT ME,Positive,24,dj khaled segment got
DJ Khaled has the winning mentality for sure,Positive,44,dj khaled winning mentality sure
Why'd I get so excited when Speed and Chandler won!,Positive,51,whyd get excited speed chandler
The curve of the chandler shot !!! Insane,Positive,41,curve chandler shot insane
Ishowspeed come back is insane,Positive,30,ishowspeed come back insane
"Have of the worlds smartest people compete in a series of intellectual puzzles games ranging from History Chandler, Speed, gorilla, winner take all.",Neutral,148,worlds smartest people compete series intellectual puzzles games ranging history chandler speed gorilla winner take
Druski and Dechambeau and lots of chandler features made this a great video,Positive,75,druski dechambeau lots chandler features made great video
we all were rooting for the strong men right,Neutral,44,rooting strong men right
" Peeka 's vs skeletons""""""",Neutral,25,peeka vs skeletons
"I had calculated by weight, static friction and force required that it would take about strong men to beat the kids. But then again I spent years studying medicine lol. Yeah there was no way men were taking a victory here. No matter how strong. Either way I loved this! Team Kiddos for the win!",Neutral,294,calculated weight static friction force required would take strong men beat kids spent years studying medicine lol yeah way men taking victory matter strong either way loved team kiddos win
crazy how a regular dude almost beat the worlds fastest woman with no experience.,Positive,81,crazy regular dude almost beat worlds fastest woman experience
The curve on chandlers golf short was insane,Positive,44,curve chandlers golf short insane
DJ Khaled remains undefeated.,Positive,29,dj khaled remains undefeated
Great. I imagine one of the most stressful jobs ever is being an editor for mrbeast.,Neutral,84,great imagine one stressful jobs ever editor mrbeast
Do Men vs Gorilla next,Neutral,22,men vs gorilla next
Ishowspeed and Chandler !!! What Comebacks,Positive,42,ishowspeed chandler comebacks
Shout out to the strongman the sport doesn’t get enough attention.,Positive,66,shout strongman sport doesnt get enough attention
He dont even do track and he was almost able to beat her. Thats wild.,Positive,69,dont even track almost able beat thats wild
would make a great athlete,Positive,26,would make great athlete
It's so rewarding to watch professionals in their field. It's so inspiring,Positive,74,rewarding watch professionals field inspiring
The slow motion was insane,Positive,26,slow motion insane
That runner needs to be studied,Positive,31,runner needs studied
now he can be sign by Dunkin’Donuts,Neutral,35,sign dunkindonuts
Brian Shaw should be a lot more famous than he is. Im glad hes getting some love here,Positive,85,brian shaw lot famous im glad hes getting love
Khaled's mentality is so goated,Positive,31,khaleds mentality goated
Chandler MVP,Positive,12,chandler mvp
You are great sir your helping behaviour is best humanity in the world,Positive,70,great sir helping behaviour best humanity world
Comeback Of Speed Is Insane,Positive,27,comeback speed insane
We need more challenges,Positive,23,need challenges
